Gender,Age,Under30,SeniorCitizen,Married,Dependents,NumberofDependents,ReferredaFriend,Number_of_Referrals,TenureinMonths,Offer,PhoneService,AvgMonthlyLongDistanceCharges,MultipleLines,InternetService,InternetType,AvgMonthlyGBDownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,MonthlyCharge,TotalCharges,TotalRefunds,TotalExtraDataCharges,TotalLongDistanceCharges,TotalRevenue,SatisfactionScore,CustomerStatus,ChurnLabel,ChurnScore,CLTV,ChurnCategory,ChurnReason
Female,62,No,No,No,No,0,No,0,7,Offer E,Yes,48.22,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,20.05,164.85,0.0,0,337.54,502.39,2,Churned,Yes,89,5595,Other,Moved
Male,40,No,No,No,No,0,No,0,1,Offer E,Yes,29.63,No,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,70.4,70.4,0.0,0,29.63,100.03,1,Churned,Yes,70,4238,Competitor,Competitor had better devices
Male,24,Yes,No,Yes,No,0,Yes,4,7,Offer E,Yes,36.14,No,Yes,DSL,85,Yes,No,No,No,No,No,Yes,Yes,One Year,Yes,Bank Withdrawal,49.75,331.3,0.0,0,252.98,584.28,1,Churned,Yes,75,5651,Competitor,Competitor offered higher download speeds
Female,64,No,No,Yes,No,0,Yes,1,11,Offer D,Yes,25.67,Yes,Yes,Fiber Optic,18,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.0,1078.9,0.0,0,282.37,1361.27,1,Churned,Yes,67,2120,Competitor,Competitor made better offer
Male,53,No,No,No,No,0,No,0,67,No Offer,Yes,22.66,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,118.35,7804.15,0.0,0,1518.22,9322.37,1,Churned,Yes,91,6255,Competitor,Competitor had better devices
Male,55,No,No,No,No,0,No,0,8,Offer E,No,0.0,No,Yes,Cable,4,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,30.45,226.45,0.0,0,0.0,226.45,1,Churned,Yes,94,4549,Competitor,Competitor had better devices
Female,19,Yes,No,Yes,No,0,Yes,4,44,No Offer,Yes,11.24,Yes,Yes,Fiber Optic,59,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.1,4364.1,0.0,0,494.56,4858.66,2,Churned,Yes,87,5606,Competitor,Competitor offered higher download speeds
Female,38,No,No,Yes,No,0,Yes,1,17,Offer D,Yes,4.91,Yes,Yes,Fiber Optic,15,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.2,1743.5,0.0,0,83.47,1826.97,1,Churned,Yes,79,2365,Competitor,Competitor offered more data
Male,39,No,No,No,No,0,No,0,9,No Offer,Yes,20.34,No,Yes,Fiber Optic,7,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.8,713.1,0.0,0,183.06,896.16,3,Churned,Yes,90,3890,Competitor,Competitor offered more data
Female,21,Yes,No,No,No,0,No,0,7,No Offer,Yes,39.21,No,Yes,Fiber Optic,42,No,No,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Mailed Check,80.3,526.7,0.0,10,274.47,811.17,2,Churned,Yes,75,3949,Competitor,Competitor made better offer
Male,48,No,No,No,No,0,No,0,3,No Offer,Yes,35.64,No,Yes,Cable,6,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,69.35,191.35,0.0,0,106.92,298.27,2,Churned,Yes,91,3520,Other,Don't know
Male,39,No,No,No,No,0,No,0,22,Offer D,Yes,39.58,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.4,2001.5,0.0,0,870.76,2872.26,2,Churned,Yes,91,5438,Dissatisfaction,Lack of self-service on Website
Male,61,No,No,Yes,No,0,Yes,1,53,No Offer,No,0.0,No,Yes,DSL,13,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,60.45,3184.25,0.0,0,0.0,3184.25,2,Churned,Yes,91,5650,Price,Lack of affordable download/upload speed
Female,58,No,No,Yes,No,0,Yes,1,8,No Offer,Yes,29.0,Yes,Yes,Fiber Optic,30,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.9,764.95,0.0,0,232.0,996.95,1,Churned,Yes,85,2656,Price,Long distance charges
Female,27,Yes,No,Yes,No,0,Yes,1,2,No Offer,Yes,8.5,No,Yes,Fiber Optic,59,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,145.4,0.0,0,17.0,162.4,1,Churned,Yes,90,5799,Competitor,Competitor had better devices
Female,24,Yes,No,Yes,No,0,Yes,1,8,No Offer,Yes,11.35,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20.15,156.25,0.0,0,90.8,247.05,3,Churned,Yes,91,4785,Price,Price too high
Female,31,No,No,Yes,No,0,Yes,1,48,No Offer,No,0.0,No,Yes,DSL,22,No,Yes,Yes,No,No,No,No,Yes,One Year,No,Mailed Check,34.7,1604.5,0.0,0,0.0,1604.5,2,Churned,Yes,90,5995,Dissatisfaction,Product dissatisfaction
Female,47,No,No,Yes,No,0,Yes,1,8,No Offer,Yes,16.88,No,Yes,Fiber Optic,6,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,101.15,842.9,0.0,0,135.04,977.94,2,Churned,Yes,76,2750,Competitor,Competitor made better offer
Male,20,Yes,No,No,No,0,No,0,20,Offer D,Yes,5.54,Yes,Yes,Fiber Optic,59,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.7,1761.45,0.0,0,110.8,1872.25,1,Churned,Yes,86,4115,Other,Don't know
Female,44,No,No,No,No,0,No,0,2,No Offer,Yes,8.32,No,Yes,Fiber Optic,16,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.75,164.5,0.0,0,16.64,181.14,3,Churned,Yes,91,5172,Competitor,Competitor made better offer
Female,48,No,No,No,No,0,No,0,27,No Offer,Yes,11.09,Yes,Yes,Fiber Optic,6,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,94.55,2724.6,0.0,0,299.43,3024.03,2,Churned,Yes,89,4464,Competitor,Competitor made better offer
Male,63,No,No,Yes,No,0,Yes,1,52,No Offer,Yes,46.59,Yes,Yes,Fiber Optic,26,No,No,Yes,Yes,No,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,96.25,4990.25,0.0,120,2422.68,7532.93,3,Churned,Yes,90,4751,Competitor,Competitor made better offer
Male,52,No,No,No,No,0,No,0,69,Offer A,Yes,20.44,Yes,Yes,Fiber Optic,3,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,104.7,7220.35,0.0,0,1410.36,8630.71,3,Churned,Yes,71,6350,Competitor,Competitor made better offer
Male,20,Yes,No,No,Yes,1,No,0,40,No Offer,Yes,8.08,No,Yes,DSL,76,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,55.25,2139.2,0.0,0,323.2,2462.4,1,Churned,Yes,65,2810,Competitor,Competitor made better offer
Female,53,No,No,No,No,0,No,0,6,No Offer,Yes,1.15,Yes,Yes,Fiber Optic,3,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.1,521.3,0.0,0,6.9,528.2,1,Churned,Yes,71,5656,Competitor,Competitor made better offer
Male,60,No,No,No,No,0,No,0,11,Offer D,Yes,15.03,Yes,Yes,DSL,13,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,53.75,608.0,0.0,0,165.33,773.33,1,Churned,Yes,91,3407,Competitor,Competitor made better offer
Female,43,No,No,No,No,0,No,0,6,No Offer,Yes,2.6,No,Yes,Fiber Optic,22,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.3,577.6,0.0,0,15.6,593.2,1,Churned,Yes,91,5800,Other,Don't know
Female,21,Yes,No,Yes,No,0,Yes,5,3,No Offer,Yes,23.26,Yes,Yes,Fiber Optic,42,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,95.2,292.85,0.0,20,69.78,382.63,1,Churned,Yes,86,4176,Competitor,Competitor made better offer
Male,51,No,No,Yes,No,0,Yes,1,8,No Offer,Yes,47.91,No,Yes,Fiber Optic,23,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,609.9,0.0,0,383.28,993.18,2,Churned,Yes,88,3683,Competitor,Competitor made better offer
Female,57,No,No,No,No,0,No,0,1,No Offer,Yes,22.48,No,Yes,Fiber Optic,5,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.65,79.65,0.0,0,22.48,102.13,3,Churned,Yes,71,2119,Competitor,Competitor made better offer
Female,53,No,No,Yes,No,0,Yes,1,1,No Offer,Yes,39.79,No,Yes,Fiber Optic,7,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.05,80.05,0.0,0,39.79,119.84,3,Churned,Yes,82,2943,Competitor,Competitor made better offer
Male,25,Yes,No,Yes,No,0,Yes,1,29,No Offer,Yes,4.0,Yes,Yes,Fiber Optic,48,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,2698.35,0.0,0,116.0,2814.35,1,Churned,Yes,91,5292,Competitor,Competitor made better offer
Male,59,No,No,Yes,No,0,Yes,1,19,No Offer,Yes,14.09,Yes,Yes,Fiber Optic,25,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,83.65,1465.75,0.0,130,267.71,1863.46,2,Churned,Yes,88,3427,Competitor,Competitor made better offer
Female,62,No,No,Yes,No,0,Yes,1,6,No Offer,Yes,31.7,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.5,146.3,0.0,0,190.2,336.5,3,Churned,Yes,67,5579,Competitor,Competitor made better offer
Male,58,No,No,No,No,0,No,0,1,No Offer,Yes,6.44,No,Yes,DSL,4,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Mailed Check,51.25,51.25,0.0,0,6.44,57.69,1,Churned,Yes,94,2180,Competitor,Competitor made better offer
Male,31,No,No,No,No,0,No,0,1,Offer E,Yes,11.73,No,Yes,DSL,24,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.6,45.6,0.0,0,11.73,57.33,1,Churned,Yes,88,3037,Competitor,Competitor made better offer
Female,49,No,No,No,No,0,No,0,6,Offer E,Yes,48.89,No,Yes,DSL,22,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.65,267.35,0.0,0,293.34,560.69,2,Churned,Yes,88,4248,Dissatisfaction,Lack of self-service on Website
Male,59,No,No,Yes,Yes,3,Yes,1,15,No Offer,Yes,31.14,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.0,288.05,0.0,0,467.1,755.15,1,Churned,Yes,73,4672,Competitor,Competitor made better offer
Female,19,Yes,No,Yes,No,0,Yes,1,25,Offer C,No,0.0,No,Yes,Cable,82,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.0,853.0,0.0,0,0.0,853.0,1,Churned,Yes,93,5024,Competitor,Competitor had better devices
Female,52,No,No,Yes,No,0,Yes,1,13,No Offer,Yes,17.83,No,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,88.35,1222.8,0.0,0,231.79,1454.59,2,Churned,Yes,81,3740,Competitor,Competitor made better offer
Female,38,No,No,Yes,No,0,Yes,1,49,No Offer,Yes,6.45,Yes,Yes,Fiber Optic,10,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,107.95,5293.2,0.0,0,316.05,5609.25,2,Churned,Yes,92,5785,Competitor,Competitor made better offer
Female,26,Yes,No,No,No,0,No,0,37,Offer C,Yes,3.27,No,Yes,Cable,71,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,64.75,2345.2,0.0,0,120.99,2466.19,1,Churned,Yes,80,5554,Attitude,Attitude of support person
Male,49,No,No,No,No,0,No,0,26,Offer C,Yes,6.24,No,Yes,Fiber Optic,25,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,89.8,2335.3,0.0,0,162.24,2497.54,1,Churned,Yes,71,3452,Competitor,Competitor made better offer
Female,61,No,No,No,No,0,No,0,12,No Offer,Yes,34.81,No,Yes,Fiber Optic,16,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Mailed Check,95.5,1115.15,0.0,0,417.72,1532.87,2,Churned,Yes,88,3538,Competitor,Competitor made better offer
Male,64,No,No,Yes,No,0,Yes,3,5,Offer E,Yes,36.88,Yes,Yes,Fiber Optic,8,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.5,453.75,0.0,0,184.4,638.15,1,Churned,Yes,91,5141,Competitor,Competitor made better offer
Male,26,Yes,No,No,No,0,No,0,18,No Offer,Yes,28.59,Yes,Yes,Fiber Optic,26,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,90.7,1597.25,0.0,0,514.62,2111.87,1,Churned,Yes,89,2931,Competitor,Competitor made better offer
Female,20,Yes,No,No,No,0,No,0,54,No Offer,Yes,43.47,Yes,Yes,Fiber Optic,82,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.95,5639.05,0.0,0,2347.38,7986.43,3,Churned,Yes,91,6117,Competitor,Competitor made better offer
Female,39,No,No,No,No,0,No,0,10,No Offer,Yes,5.63,Yes,Yes,Fiber Optic,26,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.75,799.65,0.0,0,56.3,855.95,1,Churned,Yes,69,5578,Other,Don't know
Female,20,Yes,No,No,No,0,No,0,1,No Offer,Yes,22.82,No,Yes,Cable,27,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.8,50.8,0.0,0,22.82,73.62,2,Churned,Yes,68,4535,Competitor,Competitor made better offer
Male,42,No,No,No,No,0,No,0,2,Offer E,Yes,39.03,No,Yes,Fiber Optic,30,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,80.25,144.55,0.0,10,78.06,232.61,1,Churned,Yes,80,5055,Competitor,Competitor made better offer
Male,62,No,No,Yes,No,0,Yes,1,32,Offer C,Yes,22.57,Yes,Yes,Fiber Optic,11,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.9,2447.95,0.0,0,722.24,3170.19,3,Churned,Yes,90,5949,Competitor,Competitor made better offer
Male,22,Yes,No,No,No,0,No,0,36,Offer C,Yes,43.97,Yes,Yes,Fiber Optic,42,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.75,3050.15,0.0,0,1582.92,4633.07,3,Churned,Yes,76,5272,Competitor,Competitor made better offer
Male,38,No,No,No,No,0,No,0,53,No Offer,Yes,16.43,Yes,Yes,Fiber Optic,29,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,85.45,4517.25,0.0,0,870.79,5388.04,1,Churned,Yes,90,4753,Other,Don't know
Male,46,No,No,Yes,Yes,1,Yes,4,1,Offer E,Yes,45.77,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.9,19.9,0.0,0,45.77,65.67,1,Churned,Yes,67,5441,Competitor,Competitor made better offer
Female,48,No,No,No,No,0,No,0,1,No Offer,Yes,27.12,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.6,70.6,0.0,0,27.12,97.72,3,Churned,Yes,85,4063,Competitor,Competitor made better offer
Female,61,No,No,No,No,0,No,0,5,Offer E,Yes,20.2,No,Yes,Fiber Optic,23,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Credit Card,81.0,389.6,0.0,10,101.0,500.6,2,Churned,Yes,96,3718,Competitor,Competitor made better offer
Male,61,No,No,No,No,0,No,0,6,Offer E,Yes,39.32,No,Yes,Fiber Optic,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.85,523.5,0.0,0,235.92,759.42,2,Churned,Yes,72,3420,Competitor,Competitor made better offer
Male,30,No,No,No,No,0,No,0,64,No Offer,Yes,24.23,Yes,Yes,Fiber Optic,73,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,105.65,6903.1,0.0,0,1550.72,8453.82,1,Churned,Yes,91,4870,Other,Don't know
Male,40,No,No,No,No,0,No,0,13,No Offer,Yes,12.54,No,Yes,Fiber Optic,20,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.85,1008.7,0.0,0,163.02,1171.72,1,Churned,Yes,85,5964,Competitor,Competitor made better offer
Female,62,No,No,Yes,No,0,Yes,3,9,Offer E,Yes,26.51,No,Yes,Fiber Optic,18,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.45,853.1,0.0,0,238.59,1091.69,2,Churned,Yes,91,4971,Competitor,Competitor made better offer
Male,49,No,No,No,No,0,No,0,10,No Offer,Yes,33.75,Yes,Yes,DSL,11,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,72.15,794.25,0.0,80,337.5,1211.75,2,Churned,Yes,91,2457,Dissatisfaction,Limited range of services
Female,39,No,No,No,No,0,No,0,2,Offer E,Yes,41.64,No,Yes,DSL,25,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,76.4,160.8,0.0,0,83.28,244.08,2,Churned,Yes,91,3005,Price,Lack of affordable download/upload speed
Male,35,No,No,Yes,No,0,No,0,9,Offer E,Yes,19.18,No,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.9,741.7,0.0,0,172.62,914.32,2,Churned,Yes,91,4748,Price,Extra data charges
Female,57,No,No,Yes,No,0,Yes,1,70,Offer A,Yes,42.67,Yes,Yes,DSL,24,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,65.3,4759.75,0.0,0,2986.9,7746.65,1,Churned,Yes,85,5591,Dissatisfaction,Product dissatisfaction
Male,43,No,No,No,No,0,No,0,1,Offer E,Yes,17.25,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.65,19.65,0.0,0,17.25,36.9,2,Churned,Yes,69,5717,Dissatisfaction,Service dissatisfaction
Male,25,Yes,No,No,No,0,No,0,1,No Offer,Yes,22.3,Yes,Yes,Fiber Optic,51,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Mailed Check,84.65,84.65,0.0,40,22.3,146.95,1,Churned,Yes,79,4261,Dissatisfaction,Lack of self-service on Website
Female,46,No,No,No,No,0,No,0,13,No Offer,No,0.0,No,Yes,Cable,16,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,31.05,347.25,0.0,0,0.0,347.25,2,Churned,Yes,90,5131,Other,Don't know
Male,56,No,No,No,No,0,No,0,7,No Offer,Yes,34.49,No,Yes,Cable,22,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,51.0,354.05,0.0,0,241.43,595.48,1,Churned,Yes,90,3736,Attitude,Attitude of service provider
Female,27,Yes,No,Yes,Yes,3,No,0,1,No Offer,Yes,40.42,No,Yes,Cable,59,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,44.35,44.35,0.0,0,40.42,84.77,2,Churned,Yes,90,4599,Attitude,Attitude of support person
Female,31,No,No,No,No,0,No,0,7,No Offer,Yes,28.92,No,Yes,Fiber Optic,16,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.7,586.05,0.0,0,202.44,788.49,2,Churned,Yes,91,3109,Attitude,Attitude of support person
Male,43,No,No,No,Yes,2,No,0,54,No Offer,Yes,6.7,Yes,Yes,Cable,16,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,55.0,3092.65,0.0,0,361.8,3454.45,1,Churned,Yes,84,5282,Other,Don't know
Male,33,No,No,Yes,No,0,Yes,3,33,Offer C,Yes,33.32,No,Yes,DSL,4,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,73.9,2405.05,0.0,0,1099.56,3504.61,1,Churned,Yes,73,5374,Competitor,Competitor had better devices
Female,38,No,No,Yes,No,0,Yes,5,55,No Offer,Yes,19.41,Yes,Yes,Fiber Optic,4,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,77.75,4458.15,0.0,0,1067.55,5525.7,2,Churned,Yes,79,4398,Competitor,Competitor made better offer
Female,35,No,No,No,No,0,No,0,8,No Offer,Yes,32.31,No,Yes,Fiber Optic,6,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,84.95,668.4,0.0,0,258.48,926.88,1,Churned,Yes,81,4437,Other,Moved
Male,40,No,No,No,No,0,No,0,11,No Offer,Yes,44.94,No,Yes,Fiber Optic,25,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,926.25,0.0,0,494.34,1420.59,2,Churned,Yes,66,3634,Other,Moved
Male,57,No,No,Yes,No,0,Yes,2,49,No Offer,No,0.0,No,Yes,DSL,5,No,Yes,No,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,51.8,2541.25,0.0,50,0.0,2591.25,2,Churned,Yes,67,5375,Other,Moved
Female,56,No,No,No,Yes,1,No,0,5,No Offer,Yes,23.89,No,Yes,DSL,14,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,46.0,221.7,0.0,0,119.45,341.15,1,Churned,Yes,85,4846,Competitor,Competitor had better devices
Male,39,No,No,No,No,0,No,0,4,No Offer,Yes,9.98,Yes,Yes,DSL,13,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,51.75,201.1,0.0,0,39.92,241.02,1,Churned,Yes,83,3865,Competitor,Competitor had better devices
Male,52,No,No,Yes,No,0,Yes,1,30,Offer C,Yes,28.85,Yes,Yes,Fiber Optic,6,Yes,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,94.4,2838.7,0.0,80,865.5,3784.2,1,Churned,Yes,71,2792,Competitor,Competitor offered higher download speeds
Female,34,No,No,No,No,0,No,0,1,No Offer,Yes,2.24,No,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.15,70.15,0.0,0,2.24,72.39,3,Churned,Yes,96,3208,Competitor,Competitor offered higher download speeds
Male,43,No,No,No,No,0,No,0,9,No Offer,No,0.0,No,Yes,DSL,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,34.7,296.1,0.0,0,0.0,296.1,1,Churned,Yes,95,5352,Competitor,Competitor offered higher download speeds
Female,53,No,No,No,No,0,No,0,1,No Offer,Yes,22.86,No,Yes,Fiber Optic,24,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,81.1,81.1,0.0,0,22.86,103.96,3,Churned,Yes,85,2075,Competitor,Competitor offered more data
Female,25,Yes,No,Yes,Yes,2,Yes,1,1,No Offer,Yes,37.92,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.55,20.55,0.0,0,37.92,58.47,3,Churned,Yes,78,3797,Attitude,Attitude of support person
Female,39,No,No,No,No,0,No,0,61,No Offer,Yes,41.23,Yes,Yes,Fiber Optic,28,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,106.6,6428.4,0.0,0,2515.03,8943.43,3,Churned,Yes,68,4183,Competitor,Competitor offered more data
Male,47,No,No,Yes,No,0,Yes,7,59,No Offer,Yes,49.31,Yes,Yes,Fiber Optic,21,Yes,Yes,Yes,Yes,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,106.75,6252.9,0.0,40,2909.29,9202.19,1,Churned,Yes,81,4508,Competitor,Competitor made better offer
Female,56,No,No,No,No,0,No,0,3,No Offer,Yes,16.15,No,Yes,Fiber Optic,13,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.45,240.45,0.0,0,48.45,288.9,3,Churned,Yes,84,3591,Competitor,Competitor made better offer
Female,40,No,No,No,No,0,No,0,3,No Offer,Yes,30.18,No,Yes,Fiber Optic,7,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,97.9,315.3,0.0,0,90.54,405.84,3,Churned,Yes,86,4330,Price,Price too high
Male,62,No,No,No,No,0,No,0,1,No Offer,Yes,48.22,No,Yes,Cable,22,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,55.7,55.7,0.0,0,48.22,103.92,1,Churned,Yes,79,4629,Dissatisfaction,Product dissatisfaction
Male,61,No,No,No,No,0,No,0,13,No Offer,Yes,30.88,No,Yes,Fiber Optic,3,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.8,973.45,0.0,0,401.44,1374.89,2,Churned,Yes,75,5067,Dissatisfaction,Service dissatisfaction
Female,46,No,No,Yes,No,0,Yes,1,18,No Offer,No,0.0,No,Yes,Cable,30,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,39.05,669.85,0.0,0,0.0,669.85,3,Churned,Yes,66,2601,Dissatisfaction,Lack of self-service on Website
Female,61,No,No,No,No,0,No,0,1,No Offer,Yes,1.59,No,Yes,Cable,14,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,53.55,53.55,0.0,0,1.59,55.14,1,Churned,Yes,79,2326,Price,Lack of affordable download/upload speed
Female,38,No,No,Yes,No,0,Yes,1,70,Offer A,Yes,5.48,Yes,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,93.9,6579.05,0.0,0,383.6,6962.65,1,Churned,Yes,95,6173,Price,Long distance charges
Male,48,No,No,Yes,No,0,Yes,1,68,Offer A,Yes,23.67,Yes,Yes,Fiber Optic,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,113.15,7856.0,0.0,0,1609.56,9465.56,1,Churned,Yes,90,4610,Price,Extra data charges
Male,42,No,No,Yes,No,0,Yes,3,11,Offer D,Yes,11.5,Yes,Yes,Fiber Optic,27,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.5,896.9,0.0,0,126.5,1023.4,1,Churned,Yes,75,5119,Dissatisfaction,Product dissatisfaction
